frame_id track_id object_class alpha box_height box_width box_length box_center_x box_center_y box_center_z box_rotation_x box_rotation_y box_rotation_z box_rotation_w box2d_minx box2d_miny box2d_maxx box2d_maxy camera moving
000_1 2 vehicle -10 1.75 2.0167253017425537 4.577319145202637 15.005819320678711 17.03717041015625 0.5542771816253662 5.075832961274781e-19 4.718471166320236e-19 0.9983576891866234 -0.05728808289640639 462.5379333496094 670.8352661132812 914.6629638671875 874.718505859375 SideFrontCam01 0
001_1 2 vehicle -10 1.75 2.0167253017425537 4.577319145202637 15.005571365356445 17.037132263183594 0.5542752146720886 0.0004720925256071472 -0.001032850456914027 0.9983564353033051 -0.05729867744598044 449.5408630371094 672.8325805664062 905.3344116210938 878.4078979492188 SideFrontCam01 0
002_1 2 vehicle -10 1.75 2.0167253017425537 4.577319145202637 15.00532341003418 17.037092208862305 0.554273247718811 0.000631575572545492 -0.0017557406382286405 0.9983548774126592 -0.057306694490798275 438.34295654296875 674.6688842773438 897.6557006835938 881.8521728515625 SideFrontCam01 0
003_1 2 vehicle -10 1.75 2.0167253017425537 4.577319145202637 15.005075454711914 17.037052154541016 0.5542713403701782 0.0006497880258237774 -0.0025163184012183797 0.9983527430091316 -0.057315324681695444 428.15228271484375 677.1033935546875 890.934814453125 886.0444946289062 SideFrontCam01 0
004_1 2 vehicle -10 1.75 2.0167253017425537 4.577319145202637 15.004827499389648 17.03701400756836 0.5542693734169006 0.0008058528144947194 -0.002423796763602287 0.9983529109927947 -0.05731440414680247 416.79107666015625 676.6657104492188 883.0526123046875 886.6282348632812 SideFrontCam01 0
005_1 2 vehicle -10 1.75 2.0167253017425537 4.577319145202637 15.004579544067383 17.03697395324707 0.554267406463623 0.0005821568834115699 -0.002262539992039048 0.9983535608554016 -0.05731238551558843 405.9250793457031 677.0446166992188 875.6117553710938 888.2257690429688 SideFrontCam01 0
006_1 2 vehicle -10 1.75 2.0167253017425537 4.577319145202637 15.0043306350708 17.03693389892578 0.5542654395103455 0.0005598340870667317 -0.0020588506703458883 0.99835414702917 -0.05731007615917547 397.46270751953125 676.8292236328125 870.365478515625 889.0079345703125 SideFrontCam01 0
007_1 2 vehicle -10 1.75 2.0167253017425537 4.577319145202637 15.004082679748535 17.036895751953125 0.5542635321617126 0.0003034032015643146 -0.0018399677001281485 0.9983548320306723 -0.05730751980646018 390.65960693359375 677.0082397460938 866.694091796875 890.26416015625 SideFrontCam01 0
008_1 2 vehicle -10 1.75 2.0167253017425537 4.577319145202637 15.00383472442627 17.036855697631836 0.5542615652084351 3.362908989523292e-05 -0.0019094167607024998 0.9983547116389472 -0.057308138558435015 384.330322265625 678.1271362304688 863.4539794921875 892.7039794921875 SideFrontCam01 0
009_1 2 vehicle -10 1.75 2.0167253017425537 4.577319145202637 15.003586769104004 17.036815643310547 0.5542595982551575 -0.00012271224325016204 -0.00146057808682871 0.9983557382625365 -0.05730332914956363 376.4919128417969 677.5247802734375 858.7975463867188 892.996337890625 SideFrontCam01 0
010_1 2 vehicle -10 1.75 2.0167253017425537 4.577319145202637 15.003338813781738 17.03677749633789 0.5542576909065247 -0.00048087635512757235 -0.0012433432101146607 0.9983560550364147 -0.057301049097902804 368.9940185546875 677.9307250976562 854.4645385742188 894.5556640625 SideFrontCam01 0
011_1 2 vehicle -10 1.75 2.0167253017425537 4.577319145202637 15.003090858459473 17.0367374420166 0.5542557239532471 -0.0008910846662911113 -0.0012154984021618437 0.9983558262842606 -0.057300721252205755 362.7457275390625 679.0994873046875 851.3023071289062 897.058837890625 SideFrontCam01 0
012_1 2 vehicle -10 1.75 2.0167253017425537 4.577319145202637 15.002842903137207 17.036699295043945 0.5542537569999695 -0.001342991575916355 -0.00094978545514308 0.9983557556707671 -0.05729816227653203 356.0245666503906 679.658447265625 847.6668701171875 898.7913208007812 SideFrontCam01 0
013_1 2 vehicle -10 1.75 2.0167253017425537 4.577319145202637 15.002593994140625 17.036659240722656 0.5542517900466919 -0.0016602123876863256 -0.0007888670500175796 0.9983555024209826 -0.05729670295359414 347.9033203125 680.1619262695312 842.74072265625 900.4953002929688 SideFrontCam01 0
014_1 2 vehicle -10 1.75 2.0167253017425537 4.577319145202637 15.00234603881836 17.036619186401367 0.5542498826980591 -0.0018420572067995749 -0.0007786956822679299 0.9983551966487608 -0.057296612314301706 338.429931640625 680.8474731445312 836.570068359375 902.4549560546875 SideFrontCam01 0
015_1 2 vehicle -10 1.75 2.0167253017425537 4.577319145202637 15.002098083496094 17.03658103942871 0.5542479157447815 -0.002083545436719694 -0.0012458269613619022 0.9983540217207736 -0.05730055905095994 329.9154968261719 683.00537109375 831.2634887695312 906.2575073242188 SideFrontCam01 0
016_1 2 vehicle -10 1.75 2.0167253017425537 4.577319145202637 15.001850128173828 17.036540985107422 0.5542459487915039 -0.0024692789076883413 -0.0017104149802599981 0.9983522495520103 -0.057304126873305945 320.7979431152344 685.5228881835938 825.3762817382812 910.524658203125 SideFrontCam01 0
017_1 2 vehicle -10 1.75 2.0167253017425537 4.577319145202637 15.001602172851562 17.036500930786133 0.5542440414428711 -0.0027911493536999224 -0.001555037911363718 0.9983517478988332 -0.05730252009924363 311.0138854980469 686.1109619140625 818.9080200195312 912.3683471679688 SideFrontCam01 0
018_1 2 vehicle -10 1.75 2.0167253017425537 4.577319145202637 15.001354217529297 17.036462783813477 0.5542420744895935 -0.0030662003193521726 -0.0014018522681312575 0.998351252524198 -0.05730104544582969 301.0075988769531 686.5784301757812 812.2750854492188 914.084716796875 SideFrontCam01 0
019_1 2 vehicle -10 1.75 2.0167253017425537 4.577319145202637 15.001105308532715 17.036422729492188 0.5542401075363159 -0.0032432006314879734 -0.00120352211883758 0.9983510468843583 -0.05729939239712288 291.42718505859375 686.646484375 805.984619140625 915.2548828125 SideFrontCam01 0
020_1 2 vehicle -10 1.75 2.0167253017425537 4.577319145202637 15.00085735321045 17.0363826751709 0.5542381405830383 -0.003568077030420311 -0.0010983700712016667 0.9983501196828817 -0.057298350226402645 281.33526611328125 687.26318359375 799.2422485351562 917.1434326171875 SideFrontCam01 0
021_1 2 vehicle -10 1.75 2.0167253017425537 4.577319145202637 15.000609397888184 17.036344528198242 0.5542362332344055 -0.003950690060405641 -0.0013285414256929587 0.9983483306509253 -0.057299543734985504 270.6025390625 689.1297607421875 791.9259033203125 920.6527099609375 SideFrontCam01 0
022_1 2 vehicle -10 1.75 2.0167253017425537 4.577319145202637 15.000361442565918 17.036304473876953 0.5542342662811279 -0.004430917064619044 -0.0015573285030641014 0.9983459365931588 -0.05730037163778844 259.11932373046875 691.1328735351562 783.9209594726562 924.3527221679688 SideFrontCam01 0
023_1 2 vehicle -10 1.75 2.0167253017425537 4.577319145202637 15.000113487243652 17.036264419555664 0.5542322993278503 -0.005011030444355503 -0.001880337164423364 0.9983425851240413 -0.057301279513464844 246.9183807373047 693.6640625 775.2798461914062 928.7571411132812 SideFrontCam01 0
024_1 2 vehicle -10 1.75 2.0167253017425537 4.577319145202637 14.99986457824707 17.036226272583008 0.5542303919792175 -0.005164665825799489 -0.002260500012489739 0.9983409078683998 -0.057303124200174936 233.61158752441406 695.5216064453125 765.6524658203125 932.3408203125 SideFrontCam01 0
